Employee ID,Experience (years),Hours Worked,Calls Made,Sales Revenue ($)
1,3,40,50,50000
2,5,45,60,60000
3,2,35,45,40000
4,4,42,55,55000
5,6,50,65,70000
6,1,30,40,30000
7,2,35,45,40000
8,3,40,50,50000
9,4,42,55,55000
10,5,45,60,60000
11,2,35,45,40000
12,3,40,50,50000
13,6,50,65,70000
14,1,30,40,30000
15,2,35,45,40000
16,3,40,50,50000
17,4,42,55,55000
18,5,45,60,60000
19,6,50,65,70000
20,1,30,40,30000
21,2,35,45,40000
22,3,40,50,50000
23,4,42,55,55000
24,5,45,60,60000
25,6,50,65,70000
26,1,30,40,30000
27,2,35,45,40000
28,3,40,50,50000
29,4,42,55,55000
30,5,45,60,60000
31,2,35,45,40000
32,3,40,50,50000
33,6,50,65,70000
34,1,30,40,30000
35,2,35,45,40000
36,3,40,50,50000
37,4,42,55,55000
38,5,45,60,60000
39,6,50,65,70000
40,1,30,40,30000
41,2,35,45,40000
42,3,40,50,50000
43,4,42,55,55000
44,5,45,60,60000
45,6,50,65,70000
46,1,30,40,30000
47,2,35,45,40000
48,3,40,50,50000
49,4,42,55,55000
50,5,45,60,60000
51,2,35,45,40000
52,3,40,50,50000
53,6,50,65,70000
54,1,30,40,30000
55,2,35,45,40000
56,3,40,50,50000
57,4,42,55,55000
58,5,45,60,60000
59,6,50,65,70000
60,1,30,40,30000
61,2,35,45,40000
62,3,40,50,50000
63,4,42,55,55000
64,5,45,60,60000
65,6,50,65,70000
66,1,30,40,30000
67,2,35,45,40000
68,3,40,50,50000
69,4,42,55,55000
70,5,45,60,60000
71,2,35,45,40000
72,3,40,50,50000
73,6,50,65,70000
74,1,30,40,30000
75,2,35,45,40000
76,3,40,50,50000
77,4,42,55,55000
78,5,45,60,60000
79,6,50,65,70000
80,1,30,40,30000
81,2,35,45,40000
82,3,40,50,50000
83,4,42,55,55000
84,5,45,60,60000
85,6,50,65,70000
86,1,30,40,30000
87,2,35,45,40000
88,3,40,50,50000
89,4,42,55,55000
90,5,45,60,60000
91,2,35,45,40000
92,3,40,50,50000
93,6,50,65,70000
94,1,30,40,30000
95,2,35,45,40000
96,3,40,50,50000
97,4,42,55,55000
98,5,45,60,60000
99,6,50,65,70000
100,1,30,40,30000
101,2,35,45,40000
102,3,40,50,50000
103,4,42,55,55000
104,5,45,60,60000
105,6,50,65,70000
106,1,30,40,30000
107,2,35,45,40000
108,3,40,50,50000
109,4,42,55,55000
110,5,45,60,60000
111,2,35,45,40000
112,3,40,50,50000
113,6,50,65,70000
114,1,30,40,30000
115,2,35,45,40000
116,3,40,50,50000
117,4,42,55,55000
118,5,45,60,60000
119,6,50,65,70000
120,1,30,40,30000
121,2,35,45,40000
122,3,40,50,50000
123,4,42,55,55000
124,5,45,60,60000
125,6,50,65,70000
126,1,30,40,30000
127,2,35,45,40000
128,3,40,50,50000
129,4,42,55,55000
130,5,45,60,60000
131,2,35,45,40000
132,3,40,50,50000
133,6,50,65,70000
134,1,30,40,30000
135,2,35,45,40000
136,3,40,50,50000
137,4,42,55,55000
138,5,45,60,60000
139,6,50,65,70000
140,1,30,40,30000
141,2,35,45,40000
142,3,40,50,50000
143,4,42,55,55000
144,5,45,60,60000
145,6,50,65,70000
146,1,30,40,30000
147,2,35,45,40000
148,3,40,50,50000
149,4,42,55,55000
150,5,45,60,60000
151,2,35,45,40000
152,3,40,50,50000
153,6,50,65,70000
154,1,30,40,30000
155,2,35,45,40000
156,3,40,50,50000
157,4,42,55,55000
158,5,45,60,60000
159,6,50,65,70000
160,1,30,40,30000
161,2,35,45,40000
162,3,40,50,50000
163,4,42,55,55000
164,5,45,60,60000
165,6,50,65,70000
166,1,30,40,30000
167,2,35,45,40000
168,3,40,50,50000
169,4,42,55,55000
170,5,45,60,60000
171,6,50,65,70000
172,1,30,40,30000
173,2,35,45,40000
174,3,40,50,50000
175,4,42,55,55000
176,5,45,60,60000
177,6,50,65,70000
178,2,35,45,40000
179,3,40,50,50000
180,4,42,55,55000
181,5,45,60,60000
182,6,50,65,70000
183,1,30,40,30000
184,2,35,45,40000
185,3,40,50,50000
186,4,42,55,55000
187,5,45,60,60000
188,6,50,65,70000
189,1,30,40,30000
190,2,35,45,40000
191,3,40,50,50000
192,4,42,55,55000
193,5,45,60,60000
194,6,50,65,70000
195,1,30,40,30000
196,2,35,45,40000
197,3,40,50,50000
198,4,42,55,55000
199,5,45,60,60000
200,6,50,65,70000
